hip_flexion_moment,thigh_accel_x,thigh_accel_y,thigh_accel_z,thigh_gyro_x,thigh_gyro_y,thigh_gyro_z,torque_mea,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_accel_x,pelvis_accel_y,pelvis_accel_z,d_hip_sagittal_filt,hip_sagittal,torque_cmd,mode,gp,gp_to,rFP_vy
NaN,-0.446993041121423,-0.0523234842350665,0.0399464276997542,-0.625625968329445,0.0866719385179668,-0.287338942863344,0.0256311271,-0.21285563149409,-0.13711460207219,0.27601965882345,-0.994961064997231,0.196485550124897,-0.290386356462611,-1.472982747,-0.7839120254,0,1,0.287,NaN,NaN
NaN,-0.423515465971664,-0.0488549620322504,0.0652115744302459,-0.617739469498561,0.131133679232949,-0.314655865007446,0.0629216283399716,-0.2494225647772,-0.0419969039342,0.3092970527572,-0.810124581382027,0.154623356538392,-0.231367294373366,-1.36984695899985,-0.783912025399996,0,1,0.296,NaN,NaN
NaN,-0.383898201120567,-0.0409010062440242,0.0548095199610255,-0.609852970667676,0.175595419947931,-0.341972787151549,0.04291739785,-0.2494225647772,-0.0419969039342,0.3092970527572,-0.830735955162763,0.17516112688931,-0.246432927237762,-1.26086829,-0.7812274322,0,1,0.296,NaN,NaN
NaN,-0.380103464958146,-0.0547952056770559,0.0183115291811505,-0.597102394527039,0.191714362235301,-0.370644166394455,0.0437857282,-0.24548768456595,0.06225621422545,0.2996172829202,-0.924669062632255,0.19800184369301,-0.275252905041294,-1.149138579,-0.7823779806,0,1,0.305,NaN,NaN
NaN,-0.511465173046113,0.0893575416554619,0.0372663125750115,-0.584351818386291,0.207833304522773,-0.399315545637596,-0.0219090420000694,-0.24548768456596,0.0622562142253843,0.299617282920133,-0.798620220059008,0.17374784816635,-0.215044898112779,-1.03771635599985,-0.782377980599999,1.9800733781456e-14,1,0.305000000000017,NaN,NaN
NaN,-0.642105288461153,0.235009159562724,0.096849892508229,-0.489863262384735,0.29600870400226,-0.528096295415536,-0.0707782856399305,-0.252531966029415,0.0160283905401056,0.252303756637411,-0.85118608444675,0.167928094967722,-0.238072779554688,-0.928592548800155,-0.781610928400001,0.0139335276999802,1,0.316999999999983,NaN,NaN
NaN,-0.536566954064173,0.136408403701525,0.114074719238918,-0.322108162054204,0.468741811673967,-0.617452034522108,-0.01021442786,-0.252531966029425,0.0160283905400399,0.252303756637344,-0.821479569852586,0.160915421142316,-0.223474814561454,-0.8228180443,-0.78046038,0.0139335277,1,0.317,NaN,NaN
NaN,-0.38316262182726,0.0400916130846834,-0.00603234070145208,-0.272806392374042,0.531137119379917,-0.716377709847808,0.00751985126098065,-0.254583944705265,-0.072466746967051,0.174526340275946,-0.871763119352683,0.176196243977401,-0.250460385233824,-0.722055153799864,-0.780460379999998,0.1535653318,1,0.33,NaN,NaN
NaN,-0.4477236347684,0.0107537151620151,0.0564687106774388,-0.223272022204483,0.558930294621679,-0.758197008865872,-0.00609906547898065,-0.254583944705265,-0.072466746967051,0.174526340275946,-0.85880079934246,0.159638633350105,-0.239838556052128,-0.626581349900136,-0.778926275600002,0.1535653318,1,0.33,NaN,NaN
NaN,-0.419803089735953,0.0280964526301244,0.0757249108426752,-0.182894505337177,0.669802058385904,-0.903362777356063,0.1295704879,-0.27824514769376,-0.1726495790854,0.10490056924119,-0.815058573775136,0.149487703391854,-0.234811886679735,-0.5365834009,-0.7777757272,0.4529072886,1,0.332,NaN,NaN
