label,estimate,step_count
0.33531028032302856,0.34885162115097046,2.0
0.32021480798721313,0.3365594446659088,2.0
0.3049055337905884,0.3467284142971039,2.0
0.2895382046699524,0.34374749660491943,2.0
0.2742530405521393,0.32884910702705383,2.0
0.25917378067970276,0.3210638761520386,2.0
0.24440717697143555,0.31071770191192627,2.0
0.23004305362701416,0.2952214479446411,2.0
0.2161547988653183,0.27534669637680054,2.0
0.20280040800571442,0.2643590271472931,2.0
0.19002367556095123,0.26051875948905945,2.0
0.1778559386730194,0.23083481192588806,2.0
0.1663178652524948,0.2300068438053131,2.0
0.1554214209318161,0.23169541358947754,2.0
0.14517182111740112,0.2177468240261078,2.0
0.13556958734989166,0.20226457715034485,2.0
0.12661239504814148,0.19246825575828552,2.0
0.11829672008752823,0.18352791666984558,2.0
0.11061934381723404,0.17968612909317017,2.0
0.10357851535081863,0.1678479015827179,2.0
0.09717477113008499,0.166656032204628,2.0
0.09141147136688232,0.1595258116722107,2.0
0.08629488945007324,0.16089704632759094,2.0
0.08183401077985764,0.15245415270328522,2.0
0.07803987711668015,0.16220344603061676,2.0
0.07492467015981674,0.1556304544210434,2.0
0.07250046730041504,0.15354864299297333,2.0
0.07077769935131073,0.14583423733711243,2.0
0.0697634294629097,0.1465761512517929,2.0
0.06945949047803879,0.14927472174167633,2.0
0.06986048817634583,0.15904343128204346,2.0
0.0709519013762474,0.14931146800518036,2.0
0.0727081224322319,0.15349337458610535,2.0
0.07509078830480576,0.14581674337387085,2.0
0.0780472606420517,0.14971821010112762,2.0
0.08150942623615265,0.14536479115486145,2.0
0.08539297431707382,0.142280712723732,2.0
0.08959700167179108,0.14333365857601166,2.0
0.09400422871112823,0.15947556495666504,2.0
0.09848176687955856,0.15251705050468445,2.0
0.10288241505622864,0.15294408798217773,2.0
0.10704661160707474,0.14445054531097412,2.0
0.11080498993396759,0.1369067132472992,2.0
0.1139814555644989,0.12415297329425812,2.0
0.11639682948589325,0.10787138342857361,2.0
0.1178729236125946,0.0987684428691864,2.0
0.1182369664311409,0.08711305260658264,2.0
0.11732634156942368,0.07168957591056824,2.0
0.11499334126710892,0.059712544083595276,2.0
0.11111002415418625,0.04209671914577484,2.0
0.10557278245687485,0.017602689564228058,2.0
0.09830664098262787,-0.0038792602717876434,2.0
0.08926903456449509,-0.029397593811154366,2.0
0.078452929854393,-0.054072823375463486,2.0
0.06588910520076752,-0.06965065747499466,2.0
0.051647529006004333,-0.09442713111639023,2.0
0.03583769127726555,-0.12109733372926712,2.0
0.018607761710882187,-0.125237375497818,2.0
0.00014263286720961332,-0.1485096663236618,2.0
-0.019339250400662422,-0.17473873496055603,2.0
-0.03959018364548683,-0.18883109092712402,2.0
-0.0603385753929615,-0.2132045030593872,2.0
-0.08129523694515228,-0.22840262949466705,2.0
-0.1021605134010315,-0.23396308720111847,2.0
-0.12263192981481552,-0.27736377716064453,2.0
-0.14241227507591248,-0.2785537838935852,2.0
-0.1612177938222885,-0.29640060663223267,2.0
-0.17878621816635132,-0.32044097781181335,2.0
-0.19488437473773956,-0.3383929431438446,2.0
-0.2093152105808258,-0.3501378297805786,2.0
-0.22192378342151642,-0.35368889570236206,2.0
-0.23260216414928436,-0.3595607578754425,2.0
-0.24129296839237213,-0.3717823922634125,2.0
-0.24799129366874695,-0.36773812770843506,2.0
-0.2527451813220978,-0.3601144552230835,2.0
