time,hip_flexion_r_moment,hip_flexion_l_moment,thigh_l_accel_x,thigh_l_accel_y,thigh_l_accel_z,thigh_l_gyro_x,thigh_l_gyro_y,thigh_l_gyro_z,thigh_r_accel_x,thigh_r_accel_y,thigh_r_accel_z,thigh_r_gyro_x,thigh_r_gyro_y,thigh_r_gyro_z,torque_l_mea,torque_r_mea,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_accel_x,pelvis_accel_y,pelvis_accel_z,d_hip_sagittal_l_filt,d_hip_sagittal_r_filt,hip_sagittal_l,hip_sagittal_r,torque_l_cmd,torque_r_cmd,mode_n,mode_l,mode_r,gp_l,gp_r,gp_r_to,gp_l_to,rFP_vy,lFP_vy
28.655,NaN,NaN,-0.91650390625,-0.104248046875,-0.24560546875,1.617431640625,39.73388671875,1.708984375,-1.097412109375,-0.041748046875,0.618408203125,-3.72314453125,14.892578125,2.5634765625,0.1279362879,-0.01165489856,0.09222499967,-0.07577499866,0.161524992,1.25440006,-8.369199729,-0.5389999971,0.4054962012,0.01291269123,-0.04218704632,-0.5633888165,0,0,0,0,0,0.926,0.431,NaN,NaN,NaN,NaN
28.66,NaN,NaN,-0.887858072916673,-0.0935058593750026,-0.257486979166664,0.640869140625231,40.9952799479164,0.813802083333545,-1.112548828125,-0.048746744791665,0.628987630208331,-2.97037760416685,12.7766927083338,3.82486979166637,0.138718594677775,-0.0165524421266655,0.09222499967,-0.07577499866,0.161524992,1.25440006,-8.38553317677777,-0.364777776711152,0.415383795144442,0.027941274435552,-0.0411217167755558,-0.563175763055556,0,0,0,0,0,0.929333333333333,0.433222222222222,NaN,NaN,NaN,NaN
28.665,NaN,NaN,-0.892903645833315,-0.105957031249983,-0.238850911458357,2.11588541666481,41.2495930989587,0.895182291666165,-1.10856119791668,-0.0564778645833293,0.636149088541665,-1.82088216145907,10.8642578125008,5.27954101562422,0.035032445470399,0.0089159658038956,0.112524996999928,-0.0257250005001778,0.12197499630014,1.09760003400056,-8.398599935,-0.2254000004,0.441108107799937,0.063327096029917,-0.0372013040500109,-0.562621824000001,0,0,0,0,0,0.932,0.435,NaN,NaN,NaN,NaN
28.67,NaN,NaN,-0.931640625,-0.1416015625,-0.189697265625,6.04248046875,40.496826171875,1.953125,-1.08544921875,-0.06494140625,0.639892578125,-0.274658203125,9.1552734375,6.927490234375,-0.04723783249,0.00351232903,0.112524997,-0.0257250005,0.1219749963,1.097600034,-8.398599935,-0.2254000004,0.4574451469,0.0829119186,-0.03490019223,-0.5618547718,0,0,0,0,0,0.932,0.435,NaN,NaN,NaN,NaN
28.675,NaN,NaN,-0.927734375,-0.1298828125,-0.232177734375,7.62939453125,37.628173828125,1.678466796875,-1.056640625,-0.076904296875,0.64404296875,3.631591796875,6.77490234375,8.636474609375,-0.0391688783,0.01230988017,0.140350008,0.02555000067,0.1177750003,1.303400013,-8.731799734,-0.4410000175,0.4722813584,0.09834859449,-0.03183204314,-0.5622382681,0,0,0,0,0,0.934,0.439,NaN,NaN,NaN,NaN
28.68,NaN,NaN,-0.843505859375,-0.0390625,-0.356689453125,2.13623046875,37.689208984375,-1.434326171875,-1.074462890625,-0.0791015625,0.625,6.8359375,4.39453125,9.307861328125,0.007647348309,-0.004892293703,0.140350008,0.02555000067,0.1177750003,1.303400013,-8.731799734,-0.4410000175,0.4851636639,0.1095781481,-0.02953093319,-0.5622382681,0,0,0,0,0,0.934,0.439,NaN,NaN,NaN,NaN
28.685,NaN,NaN,-0.855712890625,-0.090576171875,-0.30712890625,2.197265625,42.78564453125,-1.0986328125,-1.08837890625,-0.08251953125,0.6103515625,9.1552734375,2.593994140625,11.5966796875,-0.07723703113,0.003145567647,0.153125,0.0661499995,0.08259999633,1.352399966,-8.839600098,-0.1274000026,0.4962008101,0.1167791236,-0.0264627841,-0.5622382681,0,0,0,0,0,0.941,0.441,NaN,NaN,NaN,NaN
28.69,NaN,NaN,-0.907958984375,-0.14697265625,-0.195068359375,12.02392578125,41.290283203125,2.166748046875,-1.047119140625,-0.0771484375,0.650390625,11.8408203125,0.640869140625,13.397216796875,-0.1131098262,0.0004089614678,0.153125,0.0661499995,0.08259999633,1.352399966,-8.839600098,-0.1274000026,0.5057836076,0.1193828498,-0.02339463501,-0.5633888165,0,0,0,0,0,0.941,0.441,NaN,NaN,NaN,NaN
28.695,NaN,NaN,-0.810791015625,-0.051513671875,-0.3359375,8.48388671875,38.665771484375,0.1220703125,-1.054443359375,-0.07861328125,0.633056640625,16.571044921875,-1.708984375,14.404296875,0.02937336699,0.01551087508,0.1627500033,0.09922500134,0.07402500033,1.450400019,-8.849399972,-0.2939999934,0.5142181138,0.1185314924,-0.02032648592,-0.5622382681,0,0,0,0,0,0.946,0.445,NaN,NaN,NaN,NaN
28.7,NaN,NaN,-0.754638671875,-0.009521484375,-0.38818359375,3.5400390625,44.281005859375,-0.91552734375,-1.09814453125,-0.064697265625,0.61669921875,18.9208984375,-4.241943359375,15.594482421875,0.002766547124,-0.02701131885,0.1627500033,0.09922500134,0.07402500033,1.450400019,-8.849399972,-0.2939999934,0.5226097272,0.1147430965,-0.01610778092,-0.562621824,0,0,0,0,0,0.946,0.445,NaN,NaN,NaN,NaN
