lJPos,rJPos,lJVel,rJVel,lJTorque,rJTorque,eulerX,eulerY,eulerZ,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_accel_x,pelvis_accel_y,pelvis_accel_z,batt,cpu,mem,lBttn,rBttn,time,d_hip_sagittal_l_filt,d_hip_sagittal_r_filt,hip_sagittal_l,hip_sagittal_r,lCmdTorque,rCmdTorque,lStanceSwing,rStanceSwing,nWalk,lWalk,rWalk,lGC,rGC,imu_time,hip_flexion_r_moment,hip_flexion_l_moment,exo_time,thigh_l_accel_x,thigh_l_accel_y,thigh_l_accel_z,thigh_l_gyro_x,thigh_l_gyro_y,thigh_l_gyro_z,thigh_r_accel_x,thigh_r_accel_y,thigh_r_accel_z,thigh_r_gyro_x,thigh_r_gyro_y,thigh_r_gyro_z,sync
0,0.0007670372142,0.02519127168,0.02943720296,0,-0,-2.484300117,0.05075000167,0.0530249995,0,-0,0,-7.869399738,6.125,-0.5096000105,23.58285332,0,0.9171875,0,0,4.822,0.002502306326,-0.007845371284,0,0.0007670372142,-2.40545,-2.0155,1,0,0,0,0,-0.48355,-0.40461,4.78715644,0.4033179,0.48091683,4.822,0.717231144872573,0.416746523136422,-0.638542946629503,0.36621094,0.195083918812841,-0.894184089260395,0.499588165106648,-0.804811858792246,-0.323290100679356,0.366020453346115,0.0273324801460253,0.179920370146025,0
-0.000306814885679973,0.000306814885679973,0.0108658097660016,-0.00153731815200174,0,-0,-2.484300117,0.05075000167,0.0530249995,0,-0,0,-7.869399738,6.125,-0.5096000105,23.58285332,0,0.9171875,0,0,4.827,0.002659692568,-0.00888020710599999,-0.000306814885679973,0.000306814885679973,-2.41775,-2.02305,1,0,0,0,0,-0.4839,-0.40261,4.79322764,0.40342846875,0.48258128625,4.827,0.71596905690943,0.409523405696837,-0.639414380328873,0.255696119786265,0.028888747572409,-0.691608843679337,0.506224973364175,-0.807689472151582,-0.316436492879871,0.374877563893072,0.119181435053434,-0.170289928641387,0
-0.000613629771360014,0.0007670372142,-0.00539575889600095,0.0262323107560001,0,-0,-2.484230049,0.05075000167,0.0530249995,0,-0,0,-7.8419598576,6.1210800504,-0.497840001260001,23.58285332,0,0.9171875,0,0,4.832,0.002744270833,-0.00875389276600002,-0.000613629771360014,0.0007670372142,-2.41845,-2.01905,1,0,0,0,0,-0.482708,-0.402894,4.798850926,0.403906594,0.483321086,4.832,0.710083539267456,0.412375810775901,-0.630349858672045,0.30099624901865,0.00278635429191066,-0.81700872472674,0.511352010276027,-0.807938288724225,-0.32634914721578,0.119283956164606,-0.00139317714595533,-0.30517578,0
-0.0003835186071,0.000613629771360014,0.0113900883139999,0.0166635306532006,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.800800037,6.115200126,-0.4801999874,23.58285332,0,0.9171875,0,0,4.837,0.00292633767319999,-0.00795532020600004,-0.0003835186071,0.000613629771360014,-2.4195,-2.01305,1,0,0,0,0,-0.48092,-0.40332,4.803802341,0.404936054,0.482673901,4.837,0.712941955428053,0.412951547630825,-0.635035096376344,0.21362305,0.0589246231053438,-0.679828866887044,0.508535795544978,-0.804333612023385,-0.324630368541394,0.0663115018908501,-0.0231307012144938,-0.295678364665628,0
-0.0003835186071,0.000230111164260014,0.012234437466,-0.00352283185519917,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.8047199866,6.103440044,-0.495879989999999,23.58285332,0,0.9171875,0,0,4.842,0.00325228407179999,-0.00691507894700004,-0.0003835186071,0.000230111164260014,-2.41354,-2.01447,1,0,0,0,0,-0.481984,-0.403388,4.808741674,0.404773928,0.482096226,4.842,0.720997168350305,0.415943473354839,-0.635725540774194,0.21362305,0.00138743912095498,-0.909977583970816,0.5016313327127,-0.801341676872479,-0.315884720648184,0.210154452424931,0.178249433303976,-0.0367610555896614,0
-0.0003835186071,-0,0.0123041016960002,-0.0189417101480005,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.810599911,6.085799921,-0.5193999939,23.58285332,0,0.9171875,0,0,4.847,0.00371831302660008,-0.00608258144459991,-0.0003835186071,-0,-2.4046,-2.0166,1,0,0,0,0,-0.48358,-0.40349,4.813662884,0.402824423,0.481622816,4.847,0.718207259706536,0.413807467976998,-0.63418584682833,0.121798008711134,0.0297006761334014,-0.852586081067164,0.504481666451697,-0.808358323618401,-0.314559862182328,0.24414062,0.121253406222629,-0.0904635249337629,0
-0.000230111164259973,-0,0.0198197383400012,-0.021253516898,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.7949198794,6.1053999022,-0.511559992619999,23.58285332,0,0.9171875,0,0,4.852,0.00439887242860006,-0.00566886033299999,-0.000230111164259973,-0,-2.40992,-2.01694,1,0,0,0,0,-0.483064,-0.404314,4.818645126,0.402575696,0.48161009,4.852,0.712257466674716,0.412617513269888,-0.624190207792334,0.0920490630483024,-0.0595461608550928,-0.644343471175479,0.514001333352982,-0.80931028738409,-0.326221457304546,0.24414062,0.0320065789822688,0.0285322479694287,0
0,0.000306814885679973,0.029693533478,-0.00403910241800155,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.771399832,6.134799874,-0.4997999907,23.58285332,0,0.9171875,0,0,4.857,0.00542144189199996,-0.00547701783220001,0,0.000306814885679973,-2.4179,-2.01745,1,0,0,0,0,-0.48229,-0.40555,4.823718916,0.404878136,0.48228839,4.857,0.710520738324653,0.412831583096478,-0.623555593807044,0.530159666515351,-0.06103516,-0.816311912689838,0.51228876564666,-0.808858323807044,-0.322907163971312,0.18565970215773,0.0889984978422695,-0.144925192689838,0
-0.000460222316799959,0.0007670372142,0.00157718136800248,0.0197859376680002,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.7949199964,6.134799874,-0.491959989380001,23.58285332,0,0.9171875,0,0,4.862,0.00639481137959998,-0.00506545067760002,-0.000460222316799959,0.0007670372142,-2.41532,-2.02157,1,0,0,0,0,-0.48191,-0.40399,4.828826164,0.40569795,0.482962136,4.862,0.713826721976191,0.416521620575085,-0.643515460073213,0.18199855615548,0.118749568829153,-0.67360054768904,0.499444686113563,-0.804696355287542,-0.317924222087968,0.103728781564294,0.117642654984633,-0.30406886615548,0
-0.001150555792,0.000613629771360014,-0.0385376349100002,0.00892160497720065,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.830200243,6.134799874,-0.4801999874,23.58285332,0,0.9171875,0,0,4.867,0.00659236437220001,-0.00442529865820003,-0.001150555792,0.000613629771360014,-2.41145,-2.02775,1,0,0,0,0,-0.48134,-0.40165,4.833983599,0.404293825,0.483629051,4.867,0.718602832098153,0.41699219,-0.635919440891373,0.158858759687526,0.0346981595633683,-0.73242188,0.50485272769542,-0.805149030287983,-0.31943627366294,0.410523770376634,0.00836115981168287,-0.270477620436632,0
-0.000690333475200041,0.000230111164260014,-0.00544780343800269,-0.0103548873221993,0,-0,-2.484195015,0.05075000167,0.0530249995,0,-0,0,-7.8184401606,6.1230400252,-0.488039988719999,23.58285332,0,0.9171875,0,0,4.872,0.00625512241660001,-0.00385769764500001,-0.000690333475200041,0.000230111164260014,-2.40955,-2.01995,1,0,0,0,0,-0.481884,-0.403494,4.839028762,0.403681354,0.483600714,4.872,0.709904090742673,0.416840591204279,-0.634403376369483,0.267827871871219,0.09155273,-0.737159329753297,0.513930554636578,-0.808219168514653,-0.320762880495116,0.18073674473526,0.0983830589049646,-0.204148148941039,0
0,0.000306814885679973,0.0377600952940002,-0.00314302779800174,0,-0,-2.484300117,0.05075000167,0.0530249995,0,-0,0,-7.800800037,6.105400252,-0.4997999907,23.58285332,0,0.9171875,0,0,4.877,0.00616125977019999,-0.00339410340100002,0,0.000306814885679973,-2.4067,-2.00825,1,0,0,0,0,-0.4827,-0.40626,4.843905517,0.404256364,0.482529499,4.877,0.709240574547609,0.41513549687463,-0.627245488190437,0.522193608259626,0.0975800196048089,-0.790443385691351,0.507939142584211,-0.809353327649278,-0.320481264160285,0.149574245197596,-0.178585002796393,-0.0945663748024045,0
-0.000306814885679973,0.000613629771360014,0.0155320152620017,0.0178710792212008,0,-0,-2.484300117,0.05075000167,0.0530249995,0,-0,0,-7.8282399174,6.1132401512,-0.4997999907,23.58285332,0,0.9171875,0,0,4.882,0.0063161812312,-0.00275263057720003,-0.000306814885679973,0.000613629771360014,-2.40942,-2.01747,1,0,0,0,0,-0.483232,-0.405136,4.84935226,0.404709808,0.48256202,4.882,0.710112844830307,0.417126965463201,-0.628679239367107,0.021058719949168,0.205199561468291,-0.723998391468291,0.501246112306506,-0.805041004536799,-0.323460917693494,0.104187962797563,-0.0873409871142498,-0.131529170050832,0
-0.00107385209972011,0.000230111164259945,-0.0317499242700068,-0.00489055868320359,0,-0,-2.484300117,0.05075000167,0.0530249995,0,-0,0,-7.869399738,6.125,-0.4997999907,23.58285332,79.6132230400283,0.9171875,0,0,4.887,0.00603834358699988,-0.00215444026459994,-0.00107385209972011,0.000230111164259945,-2.4135,-2.0313,1,0,0,0,0,-0.48403,-0.40345,4.855653985,0.404980903,0.484250145,4.887,0.712070889887623,0.415557322157708,-0.63341264165106,0.15258789,0.175774683902437,-0.636606529146345,0.506732321829471,-0.805590427786103,-0.32020063834894,0.275852638011898,-0.0378483660975634,-0.0463735840059491,0
-0.00127839535673326,0.000127839535700038,-0.0441017042199952,-0.0124283917259977,0,-0,-2.484241727,0.05075000167,0.0530249995,0,-0,0,-7.83999992199999,6.12173337533333,-0.4997999907,23.58285332,132.688705066647,0.9171875,0,0,4.892,0.0050620836353332,-0.00180099506566664,-0.00127839535673326,0.000127839535700038,-2.41571666666667,-2.02661666666667,1,0,0,0,0,-0.483316666666666,-0.403833333333333,4.861862502,0.404652852,0.484075528,4.892,0.70874023,0.413362120672245,-0.630763244466222,0.409785306497362,0.0355632976237656,-0.619402815302043,0.514205655893349,-0.808019604926299,-0.322850035533778,0.30853959057683,0.11870649942317,-0.0825014811809149,0
-0.000671157562424979,0.000287638955324979,-0.00402416824499836,-0.00248421169850117,0,-0,-2.484124947,0.05075000167,0.0530249995,0,-0,0,-7.78120029,6.115200126,-0.4997999907,23.58285332,0,0.9171875,0,0,4.897,0.00382866133249993,-0.00160923493425,-0.000671157562424979,0.000287638955324979,-2.42015,-2.01725,1,0,0,0,0,-0.48189,-0.4046,4.867931207,0.403426082,0.481106798,4.897,0.713794650272655,0.413464239496625,-0.632984101646452,0.601966570853971,-0.06103516,-0.904119970148466,0.507100358091377,-0.80810547,-0.322103379234454,0.217815543886116,0.0251549701856795,-0.06103516,0
