hip_sagittal_l,hip_sagittal_r,d_hip_sagittal_l_raw,d_hip_sagittal_r_raw,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_accel_x,pelvis_accel_y,pelvis_accel_z,thigh_r_accel_x,thigh_r_accel_y,thigh_r_accel_z,thigh_r_gyro_x,thigh_r_gyro_y,thigh_r_gyro_z,thigh_l_accel_x,thigh_l_accel_y,thigh_l_accel_z,thigh_l_gyro_x,thigh_l_gyro_y,thigh_l_gyro_z,time
-0.550842,0.180817,-0.525818,0.137726,0.049002164057458,0.139017008902136,-0.0756337749582504,-11.3116772460938,-2.56506591796875,-2.84767822265625,6.1935205078125,12.3702758789063,-1.20708984375,-0.452204753095455,-0.308394054231176,0.369114127084982,-1.0394384765625,-7.8700341796875,0.37122802734375,0.0362189908250776,0.698813470036792,-0.273772960060146,0
-0.551605,0.180817,-0.16275,0.037567,0.105993811385154,0.123038042361661,-0.0948085348068209,-12.5067919921875,-3.25962158203125,-2.9841943359375,7.6496923828125,12.7941943359375,-1.18074462890625,-0.493217433882675,-0.317981434155461,0.519316412565451,-7.09165283203125,-8.44244384765625,4.25115966796875,-0.0527305895835689,0.311589847539271,0.0101200121423011,0.00500000000010914
-0.550842,0.180817,0.200317,-0.012512,0.0719053494321394,0.115048559091423,-0.101200121423011,-12.4948168945313,-1.0106982421875,-1.868115234375,8.18138671875,13.4911450195313,-0.8765771484375,-0.541154333504101,-0.365918333776887,0.729706138681711,-5.99473388671875,-9.61600341796875,0.6849755859375,-0.0633832339438859,0.306796157577128,0.296676145434827,0.0100000000002183
-0.547791000000555,0.180817,0.688567999911188,-0.0625919999908905,0.03568635861365,0.0841558904521233,-0.135288583369825,-13.0384863280261,-0.447868652446128,-1.34839599618829,0.902922364605195,13.7617822265133,4.72058349507563,-0.601341774128944,-0.746750369588945,0.876712630827345,-4.28947998077893,-11.6062646480755,1.95194091773829,-0.10226538585197,0.36751623041989,0.672714491285615,0.0149999999994179
-0.543976000000694,0.180054000000139,1.15179399991574,-0.225341999970396,0.0676442916821995,0.0745685105239626,-0.187486540732084,-12.7391088867732,0.514929199043618,-0.735270996205277,3.30752197221886,14.5210034178306,5.53968017563226,-0.682301871263574,-0.819188351295197,0.952346405798578,-5.94683349579228,-12.3247705076818,3.52067871065215,-0.117179087960774,0.120374881316536,0.898550551751656,0.0199999999995271
-0.53787200000111,0.177765000000416,1.58999599992029,-0.500792999949896,0.020240024293225,0.08415589044476,-0.213052887201689,-12.3415356446036,2.72313720662958,-0.673000488292577,8.20773193270241,15.4502709959247,2.04534668032312,-0.829308363423934,-0.512392193787051,1.16539929297992,-2.16988769599952,-13.5510205075894,1.64298339877905,-0.109722236912621,0.0394147841478993,1.11746239335743,0.0249999999996362
-0.53064,0.17395,1.978088,-1.026611,-0.0575242795457115,0.117179087963486,-0.223705531566656,-12.8349096679688,3.50630859375,-0.2730322265625,10.63388671875,15.165263671875,1.2885205078125,-0.953944302466383,-0.2386192336711,1.37951744466105,0.5987548828125,-14.3270068359375,3.38895263671875,-0.111852765783328,0,1.25221834455526,0.0299999999997453
-0.51767,0.16861,2.266022,-1.464783,-0.148071756608406,0.13848437668412,-0.189084437395626,-13.64203125,2.91473876953125,-0.0718505859375,12.8325146484375,14.7605053710938,0.51492919921875,-1.0652644360317,-0.0335558297349984,1.65329040472119,4.43318115234375,-15.558046875,3.7410205078125,-0.111320133565312,-0.239684498107131,1.30228577304875,0.0349999999998545
-0.508118,0.161377,2.391235,-1.802826,-0.209857093898244,0.128364364541819,-0.214650783860387,-13.8503979492188,3.11113037109375,0.99393310546875,11.927197265625,14.6024340820312,0.55803955078125,-1.15687717753042,0.0010652644360317,1.93771600914165,7.29283447265625,-16.0825561523438,3.96854736328125,-0.135821215594041,-0.433029993246884,1.20960776711399,0.0399999999999636
-0.499359,0.148407,2.215973,-2.36618,-0.259391890173718,0.10386328251309,-0.248739245813401,-13.5031201171875,2.7638525390625,1.695673828125,11.2254565429688,13.6372412109375,0.220341796875,-1.23144568805264,0.186421276305547,2.36115862246425,12.2601049804687,-17.8524755859375,3.96375732421875,-0.142212802210231,-0.591221761997591,1.01466437532019,0.0450000000000728
